GeneID	GSM8179740	GSM8179741	GSM8179743	GSM8179744	GSM8179745	GSM8179747	GSM8179751	GSM8179752	GSM8179754	GSM8179757	GSM8179758
100287102	5	35	16	9	48	9	29	28	12	16	10
653635	156	322	186	297	642	116	358	177	217	175	242
102466751	2	5	6	4	10	2	10	4	3	2	6
107985730	0	0	0	0	0	0	0	0	0	0	0
100302278	0	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	1	0	0	0	0	1	1
79501	0	0	0	0	0	0	0	0	0	0	0
100996442	70	111	115	117	89	11	65	74	66	10	43
729737	922	1330	2249	2055	1812	335	608	1468	1585	396	572
102725121	4	46	13	9	47	10	27	28	9	14	11
102723897	165	327	229	313	673	107	343	196	213	164	244
102465909	2	5	5	3	10	3	10	4	2	2	5
107985721	1	1	0	0	0	0	0	0	0	0	0
112268260	7	13	12	7	11	2	6	6	6	2	8
729759	0	0	0	0	0	0	0	0	0	0	0
100132287	390	612	825	870	817	177	347	598	673	179	285
105378947	2	1	2	1	2	0	1	1	0	0	0
101928626	0	0	0	0	0	0	0	0	0	0	0
113219467	693	1367	1073	1835	2697	575	1958	1450	959	759	423
81399	1	2	6	1	2	0	1	1	2	0	2
100133331	376	580	804	823	767	183	341	593	604	158	280
107984841	45	64	89	77	54	14	41	50	50	8	24
107984847	37	63	106	77	93	13	51	62	55	4	27
107984849	11	19	29	33	21	3	15	18	19	4	10
100288069	54	66	74	83	50	8	42	40	50	10	24
105378580	7	6	17	8	15	2	7	4	5	3	9
400728	5	10	10	4	9	1	4	2	6	1	4
79854	8	11	8	11	10	3	7	8	7	3	20
643837	105	147	110	133	170	32	208	75	71	71	102
107984850	1	2	3	3	7	3	2	1	1	0	4
284593	1	2	2	1	3	0	2	2	2	1	2
284600	0	2	0	0	4	0	1	0	0	0	0
100130417	0	0	1	0	1	0	0	0	0	0	0
107985728	0	0	0	0	0	0	0	0	0	0	0
148398	17	42	15	26	46	11	32	14	19	10	11
26155	404	610	356	551	804	182	697	334	325	229	240
339451	25	58	69	106	216	56	78	80	83	48	62
84069	7	5	7	10	18	1	10	7	7	5	8
84808	1	0	1	1	3	0	1	1	0	1	1
57801	21	11	8	40	55	13	17	4	13	7	15
9636	951	433	684	3411	931	253	610	221	380	372	386
375790	77	50	58	192	105	28	71	33	42	26	22
100288175	2	4	4	3	4	2	8	2	0	3	3
112267874	0	1	1	0	4	0	3	1	0	2	3
105378948	4	12	15	17	27	9	23	8	7	12	17
401934	0	0	0	0	0	0	0	0	0	0	0
54991	27	77	86	87	212	46	105	60	80	64	55
254099	2	2	2	2	3	0	1	2	1	1	1
406984	0	0	0	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0	0	0	0
554210	0	0	0	0	0	0	0	0	0	0	0
100506376	0	1	1	0	0	0	0	1	0	3	0
254173	0	0	3	3	9	3	2	0	1	2	1
8784	19	41	19	33	114	30	40	19	41	47	53
7293	14	49	49	36	163	48	54	37	45	86	65
51150	978	1634	993	1658	2125	610	1682	821	1133	767	738
126792	137	314	142	195	344	75	180	122	143	111	149
388581	1	1	5	2	12	0	1	2	5	0	2
118424	371	641	433	619	758	194	566	358	419	268	293
101928895	4	8	18	21	31	2	15	13	9	6	11
6339	13	21	40	26	117	15	42	25	29	16	20
116983	194	436	395	480	1022	228	517	379	367	165	175
102465434	0	0	0	0	0	0	0	0	0	0	0
109623456	0	4	3	4	4	0	6	3	4	0	2
126789	50	98	67	82	122	45	77	61	64	56	48
54973	525	917	600	878	1416	310	1028	583	538	464	471
