GeneID	GSM8179760	GSM8179762	GSM8179763	GSM8179764	GSM8179766	GSM8179767	GSM8179768	GSM8179769	GSM8179770	GSM8179772	GSM8179774	GSM8179775	GSM8179778
100287102	6	22	12	3	30	10	33	15	28	43	16	53	13
653635	163	223	116	156	247	148	722	133	145	272	259	965	397
102466751	2	3	2	2	3	4	17	1	2	6	3	20	7
107985730	0	0	0	0	0	0	0	0	0	0	0	0	0
100302278	0	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	1	0	0	0	0	0	0	1	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0
100996442	73	121	83	56	76	16	58	74	77	100	75	116	69
729737	926	2160	1409	1103	2164	513	1642	1495	1273	2264	1743	1946	993
102725121	7	25	10	4	26	10	26	14	27	41	12	50	16
102723897	157	246	144	158	284	144	787	137	145	313	242	1080	411
102465909	2	3	2	2	3	3	19	1	1	6	3	20	6
107985721	0	0	0	0	1	0	0	0	0	0	0	1	1
112268260	8	11	8	3	5	1	4	3	8	7	10	15	10
729759	0	0	0	0	0	0	0	0	0	0	0	0	0
100132287	405	936	543	486	858	245	645	615	631	918	722	844	484
105378947	1	2	0	1	0	0	1	1	0	1	1	1	0
101928626	0	0	0	0	0	0	0	0	0	0	0	0	0
113219467	796	1707	682	1061	2533	814	798	756	742	2252	1072	1836	675
81399	1	3	1	1	1	0	1	4	1	2	1	1	1
100133331	390	861	512	456	806	262	583	581	636	893	653	825	461
107984841	44	88	50	47	75	18	40	51	68	80	53	92	49
107984847	61	159	52	37	76	15	45	46	123	145	83	159	51
107984849	16	27	19	17	18	5	15	19	19	30	20	28	13
100288069	58	83	49	43	50	15	36	52	64	64	56	76	43
105378580	10	8	6	7	4	1	8	4	5	7	7	17	17
400728	3	8	6	5	4	1	7	2	9	5	3	7	7
79854	4	11	3	2	7	3	26	5	5	7	10	29	18
643837	105	145	66	71	113	58	153	85	55	104	90	216	163
107984850	5	1	0	0	2	1	4	1	0	1	0	6	4
284593	1	1	1	1	2	0	2	0	1	4	1	4	5
284600	0	0	0	0	0	0	1	1	0	1	0	0	0
100130417	0	0	0	0	0	0	0	0	0	0	1	0	0
107985728	0	0	0	0	0	0	0	0	0	0	0	0	0
148398	21	38	8	12	36	18	33	14	18	28	22	49	16
26155	393	658	216	313	529	230	651	267	308	512	369	800	365
339451	24	66	51	70	86	71	225	31	14	102	76	229	103
84069	2	6	2	5	8	4	6	3	4	8	10	15	6
84808	0	1	1	0	2	1	1	1	0	1	3	2	1
57801	27	9	1	27	12	10	77	2	1	12	9	15	14
9636	938	590	435	1850	326	337	588	266	536	323	428	261	656
375790	64	46	27	109	49	34	65	17	34	62	37	82	35
100288175	1	5	2	2	4	2	9	3	1	3	3	8	4
112267874	5	1	1	2	3	2	6	3	2	2	1	11	3
105378948	7	7	8	12	23	14	53	10	7	11	11	65	24
401934	0	0	0	0	0	0	0	0	0	0	0	1	0
54991	53	109	53	70	97	60	230	49	33	105	83	204	81
254099	0	1	3	0	1	4	2	1	1	4	1	21	6
406984	0	0	0	0	0	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0	0	0	0	0	0
554210	0	0	0	0	0	0	0	0	0	0	0	1	0
100506376	0	2	0	0	1	0	2	1	1	2	1	3	2
254173	0	3	0	0	1	5	2	4	2	2	3	9	2
8784	15	62	10	22	22	50	90	33	17	36	47	107	89
7293	13	57	18	19	34	73	156	44	36	51	58	178	83
51150	1027	1790	603	853	1428	827	1774	956	898	1154	1251	2224	1226
126792	151	337	83	121	193	115	207	132	129	139	129	319	260
388581	7	3	0	0	7	1	7	1	0	3	2	8	3
118424	350	755	263	326	475	278	583	330	332	500	465	649	469
101928895	5	6	6	9	4	5	30	2	2	13	9	58	12
6339	12	23	33	16	40	27	125	11	9	28	34	104	47
116983	204	342	190	271	491	289	874	194	142	578	393	1055	317
102465434	0	0	0	0	0	0	0	0	0	0	0	0	0
109623456	0	3	3	3	2	1	10	2	2	3	1	11	2
126789	54	90	41	46	73	61	134	60	45	71	63	134	86
54973	547	924	330	486	878	383	1167	440	443	885	640	1461	792
102465435	1	1	1	0	0	0	1	0	1	0	1	2	0
80772	159	380	92	116	251	169	238	145	116	247	220	320	181
83756	6	12	8	6	17	7	40	5	4	12	12	44	8
1855	139	314	122	149	216	201	509	143	110	243	241	603	285
102466740	0	0	0	0	0	0	0	0	0	0	0	0	0
54587	23	39	37	28	24	18	65	15	7	50	26	103	35
54998	285	726	217	351	526	368	599	354	380	396	489	636	521
81669	821	1023	839	731	1231	661	3174	608	472	1398	1015	3289	2048
148413	193	394	124	173	258	143	362	172	177	255	228	484	249
55052	241	536	196	292	389	243	549	297	274	308	359	631	627
107984868	2	1	1	1	2	0	1	0	1	0	0	2	5
441869	0	1	0	1	1	1	1	1	1	1	3	3	0
105378585	0	0	0	0	0	2	0	0	0	0	0	0	1
643965	0	0	0	0	0	0	0	0	0	0	0	0	0
102724312	0	0	0	0	0	0	0	0	0	0	2	0	0
107985729	0	0	0	0	0	0	0	0	0	0	0	0	0
64856	0	0	0	0	1	0	0	0	0	0	0	0	0
219293	10	38	13	17	26	14	40	21	19	30	27	69	29
83858	92	197	146	128	239	125	521	111	80	291	172	572	346
55210	80	188	80	75	154	87	209	81	72	153	109	292	149
339453	1	0	0	0	1	0	0	4	1	3	4	2	1
29101	747	1453	540	599	898	553	1032	914	737	864	980	1447	1123
643988	39	60	21	37	48	39	52	32	43	54	44	64	44
105378586	2	1	0	0	1	1	2	0	2	1	1	0	1
142678	177	327	210	365	514	298	916	140	138	582	488	990	348
8510	20	34	31	42	54	25	87	14	17	60	54	80	43
984	675	980	383	492	791	274	1052	421	462	885	729	1294	504
728661	1194	1795	875	941	1170	675	2001	848	786	1548	1007	2562	1762
