Genenames	Classlabels
GSM8179740	LBP
GSM8179741	LBP
GSM8179742	LBP
GSM8179743	LBP
GSM8179744	LBP
GSM8179745	LBP
GSM8179746	LBP
GSM8179747	LBP
GSM8179748	LBP
GSM8179749	LBP
GSM8179750	HBP
GSM8179751	HBP
GSM8179752	HBP
GSM8179753	HBP
GSM8179754	HBP
GSM8179755	HBP
GSM8179756	HBP
GSM8179757	HBP
GSM8179758	HBP
GSM8179759	HBP
GSM8179760	LBP
GSM8179761	LBP
GSM8179762	LBP
GSM8179763	LBP
GSM8179764	LBP
GSM8179765	LBP
GSM8179766	LBP
GSM8179767	LBP
GSM8179768	LBP
GSM8179769	LBP
GSM8179770	HBP
GSM8179771	HBP
GSM8179772	HBP
GSM8179773	HBP
GSM8179774	HBP
GSM8179775	HBP
GSM8179776	HBP
GSM8179777	HBP
GSM8179778	HBP
GSM8179779	HBP
GSM5180105	LBP
GSM5180109	LBP
GSMB180110	LBP
GSMB180111	LBP
GSMB180112	LBP
GSMB180113	LBP
GSMB180114	LBP
GSMB180115	LBP
GSMB180116	LBP
GSMB180117	LBP
GSMB180118	LBP
GSMB180119	LBP
GSMB180120	LBP
GSMB180121	LBP
GSMB180122	LBP
GSMB180123	LBP
GSMB180124	LBP
GSMB180125	LBP
GSMB180125	LBP
GSMB180127	LBP
GSMB180125	LBP
GSMB180129	LBP
GSMB180130	LBP
GSMB180131	LBP
GSMB180132	LBP
GSMB180123	LBP
GSMB180134	LBP
GSMB180125	LBP
GSM5180135	LBP
GSMB180127	LBP
GSMB180135	LBP
GSM5180129	LBP
GSMB180140	LBP
GSMB180141	LBP
GSMB180142	LBP
GSMB180142	LBP
GSMB180144	LBP
GSMB180145	LBP
GSM5180145	LBP
GSMB180147	LBP
GSMB180145	LBP
GSMB180149	LBP
GSMB180150	LBP
GSMB180151	LBP
GSMB180152	LBP
GSMB180152	MBP
GSMB180154	MBP
GSMB180155	MBP
GSMB180156	MBP
GSMB180157	MBP
GSMB180155	MBP
GSMB180150	MBP
GSMB180160	MBP
GSMB180161	MBP
GSM5180162	MBP
GSM5180162	MBP
GSMB180164	HBP
GSM5180165	HBP
GSM5180165	HBP
GSM5180167	HBP
GSM5180155	HBP
GSM5180169	HBP
GSMB180170	HBP
GSMB180171	HBP
GSMB180172	HBP
GSMB180173	HBP
GSMB180174	HBP
GSMB180175	HBP
GSM5180175	HBP
GSMB180177	HBP
GSMB180175	HBP
GSM5180179	HBP
GSMB180180	HBP
GSMB180181	HBP
GSMB180182	HBP
GSMB180183	HBP
GSMB180184	HBP
GSM5180185	HBP
GSM5180185	HBP
GSMB180187	HBP
GSM5180185	HBP
GSM5180189	HBP
GSM5180190	HBP
GSMB180191	HBP
GSM5180192	HBP
GSM5180192	HBP
GSM5180194	HBP
GSM5180195	HBP
GSM5180196	HBP
